symbol,current_price,predicted_price,percent_change,direction,confidence,signal_strength,recommendation,last_update,market_change,market_change_pct
BNL,132.09,120.54448335068581,-8.740643992213032,DOWN,0.40434603691101073,WEAK,HOLD,2025-11-27 00:43:52,-4.5,0
BNWM,61.77,66.42163907982714,7.530579698603111,UP,0.4695488810539245,WEAK,HOLD,2025-11-27 00:43:52,0.53,0
BOK,31.55,33.80998213057588,7.163176325121653,UP,0.5145962238311768,WEAK,HOLD,2025-11-27 00:43:53,-1.25,0
BOP,33.07,34.58463756918988,4.580095461717205,UP,0.5414984583854675,WEAK,HOLD,2025-11-27 00:43:53,0.2,0
BPL,31.62,30.876065158367155,-2.352735109528293,DOWN,0.3587219953536987,WEAK,HOLD,2025-11-27 00:43:54,0.57,0
BTL,309.26,336.1819181700818,8.70527005434968,UP,0.6761543691158294,MODERATE,HOLD,2025-11-27 00:43:54,0.0,0
BUXL,148.0,144.2405746026015,-2.5401522955395284,DOWN,0.452273952960968,WEAK,HOLD,2025-11-27 00:43:55,-0.15,0
BWCL,523.99,546.2061607179542,4.239806240186674,UP,0.46906685233116147,WEAK,HOLD,2025-11-27 00:43:56,-7.64,0
BWHL,174.51,178.4158381809106,2.238174420325839,UP,0.5527119159698486,WEAK,HOLD,2025-11-27 00:43:56,-1.07,0
CCM,53.58,51.63827825149231,-3.6239674290923647,DOWN,0.6587650775909424,MODERATE,SELL,2025-11-27 00:43:57,0.29,0
CENI,59.08,56.340628090289805,-4.6367161640321495,DOWN,0.6464921832084656,MODERATE,SELL,2025-11-27 00:43:57,0.0,0
CEPB,32.74,33.93942724592514,3.6634918934793412,UP,0.4389944851398468,WEAK,HOLD,2025-11-27 00:43:58,0.31,0
CHAS,75.0,69.52043201446533,-7.306090647379563,DOWN,0.5994599819183349,WEAK,HOLD,2025-11-27 00:43:58,0.0,0
CHCC,324.0,319.79470595883555,-1.2979302596186575,DOWN,0.5074101448059082,WEAK,HOLD,2025-11-27 00:43:59,9.63,0
