symbol,avg_error_pct,direction_accuracy,count
ALAC,1.0766435762415068,0.0,1
BAHL,0.687565098445245,0.0,1
BAPL,11.82208432013591,0.0,1
BATA,0.017514433881940607,0.0,1
BCL,1.108369872531563,0.0,1
BERG,0.812926250834821,0.0,1
BGL,10.013387974858817,0.0,1
BHAT,8.21869576125922,0.0,1
BIFO,2.578686194419243,0.0,1
BIPL,0.17904465344952963,0.0,1
BNL,12.232648784155199,0.0,1
BNWM,8.019477879498552,0.0,1
BOK,1.060237120441598,0.0,1
BOP,4.09645715862598,0.0,1
BPL,0.6205449422006991,0.0,1
BTL,8.782206692647364,0.0,1
BUXL,9.29711904970682,0.0,1
BWCL,0.7298627234922737,0.0,1
BWHL,0.12968176173634066,0.0,1
CCM,3.99946332296378,0.0,1
CENI,7.240779162165903,0.0,1
CEPB,3.088780460526347,0.0,1
CHAS,7.2554870859781895,0.0,1
CHCC,3.208914163105997,0.0,1
CLOV,8.84508755496397,0.0,1
COLG,1.0760998331055986,0.0,1
CPPL,0.9685420816316662,0.0,1
CRTM,2.24387127320299,0.0,1
CSAP,0.5631904784603621,0.0,1
CSIL,0.32301867345391966,0.0,1
CTM,5.69636756837279,0.0,1
CWSM,7.040446310697767,0.0,1
CYAN,2.5105249739635718,0.0,1
DAAG,3.5716941310934773,0.0,1
DADX,7.384547869480468,0.0,1
DCL,0.5846756519640117,0.0,1
DCR,0.4682616457248096,0.0,1
DEL,13.929399412639498,0.0,1
DFML,2.8536378627199177,0.0,1
DFSM,0.44545195697209655,0.0,1
DGKC,3.690422735560745,0.0,1
DINT,0.7842961788177507,0.0,1
DLL,3.2537458224335807,0.0,1
DNCC,22.966232180237093,0.0,1
DOL,6.8489929217921635,0.0,1
DSIL,20.616995638499297,0.0,1
DSL,3.009738559431925,0.0,1
DWSM,2.808723916039753,0.0,1
DWTM,1.5180367395025562,0.0,1
DYNO,1.4427202044830827,0.0,1
ECOP,0.6022518402337942,0.0,1
EFERT,2.3435351406154767,0.0,1
EFUG,1.4453959439671105,0.0,1
EFUL,1.4190455941650042,0.0,1
