symbol,prediction_date,actual_date,predicted_price,actual_price,error_abs,error_pct,direction_correct,confidence
ALAC,2025-11-19,2025-11-24,11.906828613281249,11.78,0.1268286132812495,1.0766435762415068,False,0.6793746948242188
BAHL,2025-11-19,2025-11-24,184.0770065129776,182.82,1.257006512977597,0.687565098445245,False,0.3753259301185607
BAPL,2025-11-19,2025-11-24,38.72774056659631,43.92,5.192259433403692,11.82208432013591,False,0.4769537985324859
BATA,2025-11-19,2025-11-24,1224.945420161852,1225.16,0.21457983814798354,0.017514433881940607,False,0.357446265220642
BCL,2025-11-19,2025-11-24,89.87271345984331,90.88,1.0072865401566844,1.108369872531563,False,0.4718639373779296
BERG,2025-11-19,2025-11-24,99.17715504179026,99.99,0.8128449582097375,0.812926250834821,False,0.4501368880271911
BGL,2025-11-19,2025-11-24,12.661116311937365,14.07,1.4088836880626356,10.013387974858817,False,0.541782009601593
BHAT,2025-11-19,2025-11-24,799.8189976580827,871.44,71.62100234191735,8.21869576125922,False,0.6753210723400116
BIFO,2025-11-19,2025-11-24,169.89082007519715,165.62,4.27082007519715,2.578686194419243,False,0.3832237243652343
BIPL,2025-11-19,2025-11-24,30.85465729761875,30.91,0.05534270238124961,0.17904465344952963,False,0.6064518809318542
BNL,2025-11-19,2025-11-24,120.46946627886857,137.26,16.790533721131425,12.232648784155199,False,0.5771914482116699
BNWM,2025-11-19,2025-11-24,66.69122564280241,61.74,4.951225642802406,8.019477879498552,False,0.4941513299942016
BOK,2025-11-19,2025-11-24,33.80464931678772,33.45,0.3546493167877145,1.060237120441598,False,0.502740728855133
BOP,2025-11-19,2025-11-24,34.86190350242384,33.49,1.3719035024238408,4.09645715862598,False,0.6182995319366454
BPL,2025-11-19,2025-11-24,31.69547165679322,31.5,0.1954716567932202,0.6205449422006991,False,0.5064666569232941
BTL,2025-11-19,2025-11-24,336.4198524176812,309.26,27.159852417681236,8.782206692647364,False,0.6147044062614441
