TIME,OPEN,HIGH,LOW,CLOSE,VOLUME,Date,Open,High,Low,Close,Volume
19-Nov-25,139.25,139.25,139.25,139.25,0.0,,,,,,
17-Nov-25,134.50999450683594,136.9499969482422,134.50999450683594,135.00999450683594,10560.0,,,,,,
14-Nov-25,133.0,134.89999389648438,133.0,134.5,2564.0,,,,,,
13-Nov-25,133.0,134.89999389648438,132.0,132.72999572753906,1598.0,,,,,,
12-Nov-25,135.0,136.99000549316406,131.0,132.52000427246094,4383.0,,,,,,
11-Nov-25,139.0,139.0,132.0,133.57000732421875,7282.0,,,,,,
10-Nov-25,138.0,139.0,137.0,138.97999572753906,2193.0,,,,,,
07-Nov-25,139.5,139.5,138.0,138.0,6435.0,,,,,,
06-Nov-25,139.89999389648438,139.89999389648438,135.0500030517578,137.0500030517578,23535.0,,,,,,
05-Nov-25,135.0500030517578,140.0,135.0500030517578,139.50999450683594,2268.0,,,,,,
04-Nov-25,137.60000610351562,139.0,135.0,137.6999969482422,14819.0,,,,,,
03-Nov-25,140.0,140.0,137.0,137.3000030517578,10983.0,,,,,,
31-Oct-25,137.0,139.5,137.0,138.4499969482422,9224.0,,,,,,
30-Oct-25,140.0,140.0,135.0,135.05999755859375,27257.0,,,,,,
29-Oct-25,145.66000366210938,145.66000366210938,135.0,137.10000610351562,12466.0,,,,,,
28-Oct-25,145.0,146.0,143.0,143.42999267578125,17973.0,,,,,,
27-Oct-25,147.0,149.0,143.0,143.91000366210938,25952.0,,,,,,
24-Oct-25,149.0,149.89999389648438,145.0,146.47999572753906,4740.0,,,,,,
23-Oct-25,149.89999389648438,152.8000030517578,149.0,149.02999877929688,10923.0,,,,,,
22-Oct-25,149.5,150.0,147.50999450683594,149.75999450683594,4673.0,,,,,,
21-Oct-25,149.8000030517578,149.89999389648438,147.0,148.41000366210938,11891.0,,,,,,
20-Oct-25,147.11000061035156,150.0,147.11000061035156,148.6699981689453,3913.0,,,,,,
17-Oct-25,150.11000061035156,151.89999389648438,150.0500030517578,150.60000610351562,1769.0,,,,,,
16-Oct-25,149.64999389648438,154.72999572753906,149.0,151.02000427246094,4926.0,,,,,,
15-Oct-25,151.72000122070312,154.0,148.00999450683594,149.64999389648438,15051.0,,,,,,
14-Oct-25,148.0,156.9499969482422,148.0,151.55999755859375,16440.0,,,,,,
13-Oct-25,147.00999450683594,150.5,145.00999450683594,147.9199981689453,11379.0,,,,,,
10-Oct-25,155.0,155.0,150.0,151.8699951171875,7939.0,,,,,,
09-Oct-25,157.0,158.5,154.0,155.0800018310547,8744.0,,,,,,
08-Oct-25,160.0,160.0,156.0,156.8800048828125,7845.0,,,,,,
