market,security_ticker,lot
REG,FCEL,500
REG,FCEPL,500
REG,FCIBL,500
REG,FCONM,500
REG,FCSC,500
REG,FDIBL,500
REG,FECM,500
REG,FECTC,500
REG,FEM,500
REG,FEROZ,100
REG,FFBL,500
REG,FFC,1
REG,FFL,500
REG,FFLM,500
REG,FHAM,500
REG,FIBLM,500
REG,FIL,100
REG,FIM,500
REG,FIMM,500
REG,FLYNG,500
REG,FML,500
REG,FNBM,500
REG,FNEL,500
REG,FPJM,500
REG,FPRM,500
REG,FRCL,500
REG,FRSM,500
REG,FSWL,500
REG,FTHM,500
REG,FTMM,500
REG,FTSM,500
REG,FUDLM,500
REG,FZCM,100
REG,GADT,100
REG,GAIL,500
REG,GAMON,500
REG,GATI,50
REG,GATM,500
REG,GFIL,500
REG,GGGL,500
REG,GGL,500
REG,GHGL,500
REG,GHGLR2,500
REG,GHNI,100
REG,GHNL,500
REG,GIL,100
REG,GLAXO,100
REG,GLOT,500
REG,GLPL,100
REG,GOC,500
REG,GRYL,500
REG,GSKCH,100
REG,GSPM,500
REG,GTYR,500
REG,GUSM,500
REG,GUTM,500
REG,GVGL,500
REG,GVGLR2,500
REG,GWLC,500
REG,HABSM,500
REG,HACC,500
REG,HADC,500
REG,HAEL,500
REG,HAFL,100
REG,HAJT,500
REG,HASCOL,1
REG,HASCOLR1,500
REG,HATM,500
REG,HBL,1
REG,HCAR,100
REG,HCL,500
REG,HGFA,500
REG,HICL,500
REG,HIFA,500
REG,HINO,100
REG,HINOON,50
REG,HIRAT,500
REG,HKKT,500
REG,HMB,500
REG,HMIM,500
REG,HMM,500
REG,HRPL,500
REG,HSM,500
REG,HSPI,500
REG,HTL,500
REG,HUBC,1
REG,HUMNL,500
REG,HUSI,500
REG,HWQS,500
REG,IBFL,500
REG,IBLHL,500
REG,ICCI,500
REG,ICI,50
REG,ICIBL,500
REG,ICL,500
REG,IDRT,500
REG,IDSM,500
REG,IDYM,50
REG,IGIHL,100
REG,IGIL,500
REG,IGILR,500
REG,ILP,500
REG,ILTM,20
REG,IMSL,500
REG,INDU,50
REG,INIL,500
REG,INKL,500
REG,INMF,500
REG,ISIL,100
REG,ISILR1,100
REG,ISL,500
REG,ITTEFAQ,500
REG,JATM,500
REG,JDMT,500
REG,JDWS,100
REG,JGICL,500
REG,JKSM,500
REG,JLICL,100
REG,JOPP,500
REG,JPGL,500
REG,JSBL,500
REG,JSCL,500
REG,JSGCL,500
REG,JSIL,500
REG,JSML,500
REG,JUBS,500
REG,JVDC,500
REG,JVDCPS,500
REG,KAKL,500
REG,KAPCO,500
REG,KASBM,500
REG,KCL,500
REG,KEL,500
REG,KHSM,500
REG,KHTC,100
REG,KHYT,100
REG,KML,500
REG,KOHC,100
REG,KOHE,500
REG,KOHP,500
REG,KOHTM,500
REG,KOIL,500
REG,KOSM,500
REG,KPUS,500
REG,KSBP,100
REG,KSTM,500
REG,KTML,500
REG,LEUL,500
REG,LMSM,500
REG,LOADS,500
REG,LOTCHEM,500
REG,LPCL,500
REG,LPGL,500
REG,LPL,500
REG,LUCK,1
REG,MACFL,500
REG,MACTER,500
REG,MARI,20
REG,MCB,1
REG,MCBAH,500
REG,MDTL,500
REG,MEBL,1
REG,MEHT,100
REG,MERIT,500
REG,MFFL,100
REG,MFL,500
REG,MFTM,500
REG,MIRKS,500
REG,MLCF,1
REG,MODAM,500
REG,MOHE,500
REG,MOIL,500
REG,MQTM,500
REG,MRNS,500
REG,MSCL,500
REG,MSOT,500
REG,MSOTPS,500
REG,MTIL,500
REG,MTL,50
REG,MUBT,500
REG,MUGHAL,500
REG,MUREB,50
REG,MWMP,500
REG,MZNP-ETF,500
REG,NAFL,500
REG,NAGC,500
REG,NATF,100
REG,NATM,500
REG,NBP,500
REG,NBPG-ETF,500
REG,NCL,500
REG,NCML,500
REG,NCPL,500
REG,NESTLE,20
REG,NETSOL,500
REG,NEXT,500
REG,NICL,500
REG,NINA,500
REG,NITG-ETF,500
REG,NMFL,500
REG,NML,500
REG,NONS,500
REG,NPL,500
REG,NPSM,500
REG,NRL,100
REG,NRSL,500
REG,NSRM,500
REG,OGDC,1
REG,OLPL,500
REG,OML,500
REG,ORIXM,500
REG,ORM,500
REG,OTSU,100
REG,PACE,500
REG,PAEL,500
REG,PAKD,500
REG,PAKL,500
REG,PAKMI,500
REG,PAKOXY,100
REG,PAKRI,500
REG,PAKT,20
REG,PASL,500
REG,PASM,500
REG,PCAL,100
REG,PDGH,500
REG,PECO,100
REG,PELPS,500
REG,PGLC,500
REG,PHDL,500
REG,PIAA,500
REG,PIAB,500
REG,PIBTL,500
REG,PICL,500
REG,PICT,100
REG,PIL,500
REG,PIM,500
REG,PINL,500
REG,PIOC,500
REG,PKGI,500
REG,PKGP,500
REG,PKGS,100
REG,PMI,500
REG,PMPK,20
REG,PMRS,100
REG,PNSC,500
REG,POL,1
REG,POML,100
REG,POWER,500
REG,POWERPS,500
REG,PPL,1
REG,PPP,500
REG,PPVC,500
REG,PREMA,500
REG,PRET,100
REG,PRIB,500
REG,PRIC,500
REG,PRL,500
REG,PRWM,500
REG,PSEL,50
REG,PSMC,100
REG,PSO,1
REG,PSX,500
REG,PSYL,500
REG,PTC,500
REG,PUDF,500
REG,QUET,500
REG,QUICE,500
REG,QUSW,500
REG,RAVT,500
