security_id,security_ticker,security_name,sector_id,sector
051055,FCSC,First Capital Securities Corporation,0813,INV. BANKS / INV. COS. / SECURITIES COS.
051058,FCIBL,First Credit and Investment Bank Limited,0813,INV. BANKS / INV. COS. / SECURITIES COS.
051065,EFGH,EFG Hermes Pakistan Limited,0813,INV. BANKS / INV. COS. / SECURITIES COS.
051070,FNEL,First National Equities Limited,0813,INV. BANKS / INV. COS. / SECURITIES COS.
051087,JSIL,JS Investments Limited,0813,INV. BANKS / INV. COS. / SECURITIES COS.
051090,JSGCL,JS Global Capital Limited,0813,INV. BANKS / INV. COS. / SECURITIES COS.
051099,786,786 Investments Limited,0813,INV. BANKS / INV. COS. / SECURITIES COS.
051102,DEL,Dawood Equities Limited,0813,INV. BANKS / INV. COS. / SECURITIES COS.
051105,PASL,Pervez Ahmed Consultancy Services Ltd.,0813,INV. BANKS / INV. COS. / SECURITIES COS.
051110,PDGH,Prudential Discourt & Guarantee House Ltd.,0813,INV. BANKS / INV. COS. / SECURITIES COS.
051120,PRIB,Prudential Investment Bank Limited,0813,INV. BANKS / INV. COS. / SECURITIES COS.
051140,SIBL,Security Investment Bank Limited,0813,INV. BANKS / INV. COS. / SECURITIES COS.
051150,TRIBL,Trust Investment Bank Limited,0813,INV. BANKS / INV. COS. / SECURITIES COS.
051155,TSBL,Trust Securities & Brokerage Limited,0813,INV. BANKS / INV. COS. / SECURITIES COS.
060960,ABL,Allied Bank Limited,0807,COMMERCIAL BANKS
060970,SMBL,Summit Bank Limited,0807,COMMERCIAL BANKS
060980,AKBL,Askari Bank Limited,0807,COMMERCIAL BANKS
061000,BAFL,Bank Alfalah Limited,0807,COMMERCIAL BANKS
061004,BIPL,BankIslami Pakistan Limited,0807,COMMERCIAL BANKS
061005,BOK,The Bank of Khyber,0807,COMMERCIAL BANKS
061010,BAHL,Bank AL Habib Limited,0807,COMMERCIAL BANKS
061030,BOP,The Bank of Punjab,0807,COMMERCIAL BANKS
061045,FABL,Faysal Bank Limited,0807,COMMERCIAL BANKS
061050,HBL,Habib Bank Limited,0807,COMMERCIAL BANKS
061094,MEBL,Meezan Bank Limited,0807,COMMERCIAL BANKS
061095,NBP,National Bank of Pakistan,0807,COMMERCIAL BANKS
061097,HMB,Habib Metropolitan Bank Limited,0807,COMMERCIAL BANKS
061098,MCB,MCB Bank Limited,0807,COMMERCIAL BANKS
061104,JSBL,JS Bank Limited,0807,COMMERCIAL BANKS
061114,SBL,Samba Bank Limited,0807,COMMERCIAL BANKS
061135,SILK,Silkbank Limited,0807,COMMERCIAL BANKS
061150,SNBL,Soneri Bank Limited,0807,COMMERCIAL BANKS
061153,SCBPL,Standard Chartered Bank (Pak) Ltd,0807,COMMERCIAL BANKS
061180,UBL,United Bank Limited,0807,COMMERCIAL BANKS
071000,AICL,Adamjee Insurance Company Limited,0812,INSURANCE
071010,IGIL,IGI Life Insurance Limited,0812,INSURANCE
071020,ASIC,Asia Insurance Company Limited,0812,INSURANCE
071025,AGIC,Askari General Insurance Company Limited,0812,INSURANCE
071030,BIIC,Business & Industrial Insurance Company Ltd.,0812,INSURANCE
071040,CYAN,Cyan Limited,0812,INSURANCE
071060,CENI,Century Insurance Company Limited,0812,INSURANCE
071070,JLICL,Jubilee Life Insurance Company Limited,0812,INSURANCE
071080,CSIL,Crescent Star Insurance Limited,0812,INSURANCE
071100,EFUG,EFU General Insurance Limited,0812,INSURANCE
071110,EFUL,EFU Life Assurance Limited,0812,INSURANCE
071120,EWIC,East West Insurance Company Limited,0812,INSURANCE
071140,HICL,Habib Insurance Company Limited,0812,INSURANCE
071160,IGIHL,IGI Holdings Limited,0812,INSURANCE
071210,ALAC,Askari Life Assurance Company Limited,0812,INSURANCE
071214,ALACR4,Askari Life (R),0812,INSURANCE
071220,ATIL,Atlas Insurance Limited,0812,INSURANCE
071260,JGICL,Jubilee General Insurance Limited,0812,INSURANCE
071265,PIL,PICIC Insurance Limited,0812,INSURANCE
071275,PKGI,The Pakistan General Insurance Co. Ltd.,0812,INSURANCE
071310,PAKRI,Pakistan Reinsurance Company Limited,0812,INSURANCE
071400,PINL,Premier Insurance Limited,0812,INSURANCE
071420,PRIC,Progressive Insurance Company Limited,0812,INSURANCE
071440,HCL,Hallmark Company Limited,0828,TECHNOLOGY & COMMUNICATION
071460,RICL,Reliance Insurance Company Limited,0812,INSURANCE
071470,SHNI,Shaheen Insurance Company Limited,0812,INSURANCE
071480,SSIC,Silver Star Insurance Company Limited,0812,INSURANCE
071490,TPLI,TPL Insurance Limited,0812,INSURANCE
071500,SICL,Standard Insurance Company Limited,0812,INSURANCE
071560,UNIC,The United Insurance Company,0812,INSURANCE
071580,UVIC,The Universal Insurance Company Limited,0812,INSURANCE
081080,AATM,Ali Asghar Textile Mills Limited,0830,TEXTILE SPINNING
081090,AMTEX,Amtex Limited,0830,TEXTILE SPINNING
081100,AWTX,Allawasaya Tex. & Finishing Mills Ltd,0830,TEXTILE SPINNING
081180,ANNT,Annoor Textile Mills Limited,0830,TEXTILE SPINNING
081220,APOT,Apollo Textile Mills Limited,0830,TEXTILE SPINNING
081225,ASTM,Asim Textile Mills Limited,0830,TEXTILE SPINNING
081280,AZMT,Azmat Textile Mills Limited,0830,TEXTILE SPINNING
081300,BCML,Babri Cotton Mills Limited,0830,TEXTILE SPINNING
081325,BILF,Bilal Fibres Limited,0830,TEXTILE SPINNING
081420,CWSM,Chakwal Spinning Mills Limited,0830,TEXTILE SPINNING
081450,HIRAT,Hira Textile Mills Limited,0830,TEXTILE SPINNING
081470,CFL,Crescent Fibres Limited,0830,TEXTILE SPINNING
