ISIN,SYMBOL,COMPANY,PRICE,IDX WT %,FF BASED SHARES,FF BASED MCAP,ORD SHARES,ORD SHARES MCAP,Volume
PK0003801013,PAKOXY,Pakistan Oxygen Limited. ,143.41,0.13,9765101,1400413134.41,39060372,5601647948.52,18100
PK0002001011,PCAL,Pakistan Cables Ltd. ,133.63,0.11,8894493,1188571099.59,35577970,4754284131.1,6600
PK0025501013,PHDL,Pakistan Hotels Developers Ltd. ,114.0,0.05,1800000,205200000.0,18000000,2052000000.0,0
PK0079701014,PICT,Pakistan Int.Container Terminal.(XD) ,178.44,0.45,16372973,2921593302.12,109153152,19477288442.88,12700
PK0065501014,PIM,Popular Islamic Madaraba ,5.5,0.0,1000000,5500000.0,10000000,55000000.0,1500
PK0010001011,PKGS,Packages Ltd. ,472.84,0.98,22344876,10565551167.84,89379504,42262204671.36,4600
PK0002201017,PMRS,Premier Sugar Mills & Distille ,498.99,0.04,508969,253970441.31,3750000,1871212500.0,200
PK0025201010,PNSC,Pakistan National Shipping Co. ,90.0,0.28,11661202,1049508180.0,132063360,11885702400.0,1500
PK0023901017,POL,Pakistan Oilfields Limited.(XD) ,384.98,2.53,129759509,49954815774.82,283855104,109278537937.92,446261
PK0029101018,POML,Punjab Oil Mills Ltd. ,140.0,0.02,2156261,301876540.0,5390625,754687500.0,1600
PK0033901015,POWER,Power cement Limited ,9.52,0.23,372195052,3543296895.04,1063414434,10123705411.68,12595000
PK0081801018,PPL,Pakistan Petroleum Limited. ,90.55,5.71,666201713,60324565112.15,2720967548,246383611471.4,2754496
PK0008401017,PPP,Pakistan Paper Products Ltd. ,89.88,0.02,4400000,395472000.0,8000000,719040000.0,46500
PK0118101010,PREMA,At-Tahur Ltd. ,21.4,0.08,40331450,863093030.0,161333700,3452541180.0,35500
PK0008501014,PSEL,Pakistan Services Limited. ,950.0,0.72,21140711,20083675450.0,32524250,30898037500.0,0
PK0022501016,PSO,Pakistan State Oil Co Ltd. ,208.1,2.26,211262985,43963827178.5,469473300,97697393730.0,3059913
PK0042401015,PSYL,Pakistan Synthentics Ltd. ,17.05,0.03,21015000,358305750.0,84060000,1433223000.0,7500
PK0067901022,PTC,Pakistan Telecommunication Co. ,9.96,0.87,592081669,5897133423.24,3774000000,37589040000.0,2651500
PK0068101010,QUICE,Quice Food Industries Ltd. ,4.74,0.01,68923280,326696347.2,98461828,466709064.72,282000
PK0061401011,REDCO,Redco Textile Ltd. ,6.04,0.01,7214300,43574372.0,49292600,297727304.0,237500
PK0032001015,RMPL,Rafhan Maize Products Ltd. ,8350.0,1.79,461821,3856205350.0,9236400,77123940000.0,60
PK0114201012,RPL,Roshan Packages Limited. ,35.96,0.12,44289675,1592656713.0,141900000,5102724000.0,601000
PK0056801019,RUBY,Ruby Textile Mills Ltd. ,7.28,0.01,2610720,19006041.6,52214400,380120832.0,7500
PK0043001012,RUPL,Rupali Polyester Ltd. ,17.23,0.01,8517129,146750132.67,34068500,587000255.0,1000
PK0016201011,SALT,Salfi Textile Mills Ltd. ,181.56,0.01,334257,60687700.92,3342570,606877009.2,0
PK0038601016,SANSM,Sanghar Sugar Mills Ltd. ,16.99,0.0,7167600,121777524.0,11946000,202962540.0,0
PK0021801011,SAPL,Sanofi-Aventis Pakistan Ltd. ,819.9,0.18,1446714,1186160808.6,9644800,7907771520.0,50
PK0033201010,SASML,Sindh Abadgars Sugar Mills Ltd. ,12.41,0.0,1042500,12937425.0,10425000,129374250.0,0
PK0075801016,SAZEW,Sazgar Engineering Works Ltd. ,178.97,0.15,12518395,2240417153.15,35766841,6401191533.77,748000
PK0021501017,SCL,Shield Corporation Ltd. ,268.21,0.02,390000,104601900.0,3900000,1046019000.0,5500
PK0061701014,SEARL,The Searle Company Ltd. ,262.11,1.29,95591360,25055451369.6,212425272,55678788043.92,587508
PK0011101018,SEPL,Security Papers Ltd. ,204.9,0.28,23702394,4856620530.6,59255985,12141551326.5,700
PK0016501014,SERT,Service Textile Mills Ltd. ,9.5,0.0,1384223,13150118.5,4449200,42267400.0,0
PK0043401014,SFL,Sapphire Fibres Mills Ltd. ,681.01,0.33,2067188,1407775699.88,20671875,14077753593.75,50
PK0030701012,SHDT,Shadab Textile Mills Ltd. ,33.74,0.01,5810000,196029400.0,16600000,560084000.0,10000
PK0016701010,SHEL,Shell Pakistan Ltd. ,227.13,0.56,22327355,5071212141.15,107012330,24305710512.9,317500
PK0038801012,SHEZ,Shezan International Ltd. ,320.54,0.07,4227324,1355026434.96,8784600,2815815684.0,3700
PK0072901017,SHFA,Shifa Int. Hospital Ltd. ,230.15,0.33,34086187,7844935938.05,61974886,14263520012.9,10300
PK0029201016,SHSML,Shahmurad Sugar Mills Ltd. ,101.25,0.05,9503398,962219047.5,21118800,2138278500.0,9500
PK0050501011,AABS,Al-Abbas Sugar Mills Ltd. ,301.34,0.12,1736230,523195548.2,17362300,5231955482.0,1500
PK0025701019,ABOT,Abbott Laboratories Pak Ltd. ,761.55,1.73,21028966,16014609057.3,97900302,74555974988.1,7900
PK0078501019,ACPL,Attock Cement Pak Ltd. ,164.62,0.52,27485392,4524645231.04,137426961,22623226319.82,59800
PK0069501010,ADMM,Artistic Denim Mills Limited. ,60.17,0.12,4200000,252714000.0,84000000,5054280000.0,19000
PK0074801017,AEL,Arshad Energy Limited. ,14.42,0.0,2400000,34608000.0,8000000,115360000.0,58500
PK0027701017,AGIL,Agriautos Industries Co. Ltd. ,226.0,0.15,18720000,4230720000.0,28800000,6508800000.0,200
PK0113801010,AGP,AGP Limited. ,104.15,0.68,84000000,8748600000.0,280000000,29162000000.0,73500
PK0039601015,AGSML,Abdullah Shaha Ghazi Suger Mills Ltd. ,2.57,0.0,78519991,201796376.87,79261700,203702569.0,41500
PK0073701010,AKGL,Al-Khair Gadoon Ltd. ,16.5,0.0,1000000,16500000.0,10000000,165000000.0,0
PK0014501016,ALNRS,Al-Noor Sugar Mills Ltd. ,46.95,0.02,9213166,432558143.7,20473755,961242797.25,0
PK0037201016,ANTM,AN Textile Mills Ltd. ,10.92,0.0,1449000,15823080.0,9660000,105487200.0,0
PK0082901015,APL,Attock Petroleum Limited.(XD) ,345.06,0.8,24883200,8586196992.0,99532800,34344787968.0,4400
PK0088101016,ARM,Allied Rental Modaraba. ,12.25,0.06,11000000,134750000.0,220000000,2695000000.0,1000
PK0076701017,ARPL,Archroma Pakistan Limited. ,568.5,0.45,8529470,4849003695.0,34118229,19396213186.5,6600
PK0062401010,ARUJ,Aruj Industries Limited. ,17.66,0.0,954496,16859358.3,10457890,184718756.86,0
PK0110401012,ASC,Al-Shaheer Corporation. ,20.14,0.09,149969415,3020384018.1,199959220,4027178690.8,2588500
PK0051201017,ASHT,Ashfaq Textile Mills Ltd. ,11.11,0.01,1749250,19434167.5,34985000,388683350.0,2000
PK0044701016,ASTM,Asim Textile Mills Ltd. ,8.4,0.0,2276550,19123020.0,15177000,127486800.0,32000
PK0011701015,ATBA,Atlas Battery Ltd. ,225.03,0.13,4871935,1096331533.05,24359676,5481657890.28,107300
PK0009201010,ATLH,Atlas Honda Limited. ,440.0,1.26,12408794,5459869360.0,124087935,54598691400.0,3900
PK0024501014,ATRL,Attock Refinery Limited. ,140.9,0.35,42646500,6008891850.0,106616250,15022229625.0,1158000
PK0011601017,AWTX,Allawasaya Tex. & Finishing Mills. ,341.25,0.01,2751,938778.75,800000,273000000.0,0
PK0108901023,AWWAL,Awwal Modaraba.(XD) ,7.79,0.02,5000000,38950000.0,100000000,779000000.0,0
PK0023001016,BATA,Bata Pakistan Ltd. ,1640.0,0.29,1766669,2897337160.0,7560000,12398400000.0,20
PK0029701015,BCL,Bolan Casting Ltd. ,61.0,0.02,5736265,349912165.0,11472529,699824269.0,0
PK0019001012,BCML,Babri Cotton Mills Ltd. ,53.48,0.0,1215519,65005956.12,3652178,195318479.44,0
PK0020401011,BERG,Berger Paints Pakistan Ltd. ,84.32,0.04,9206870,776323278.4,20459710,1725162747.2,16000
PK0036301015,BFMOD,B.F.Modaraba. ,5.2,0.0,1503032,7815766.4,7515159,39078826.8,0
PK0025801017,BGL,Baluchistan Glass Ltd. ,6.21,0.04,65400000,406134000.0,261600000,1624536000.0,284500
PK0036401013,BHAT,Bhanero Textile Mills Ltd. ,892.71,0.06,150000,133906500.0,3000000,2678130000.0,250
PK0062801011,BIFO,Bifo Industries Ltd. ,167.71,0.14,6969600,1168871616.0,34848000,5844358080.0,8300
PK0084801015,BIPL,Bankislami Pakistan Ltd. ,9.91,0.25,277175825,2746812425.75,1108703299,10987249693.09,518000
PK0051701016,BNWM,Bannu Woollen Mills Limited. ,37.05,0.01,4277813,158492971.65,9506250,352206562.5,19500
PK0025901015,BPL,Burshane LPG (Pakistan) Limited. ,30.0,0.02,6792013,203760390.0,22640044,679201320.0,5500
PK0029601017,BRR,B.R.R. Guardian Modaraba. ,10.78,0.02,51817358,558591119.24,86362263,930985195.14,0
PK0045201016,BTL,Bleesed Textile Ltd. ,268.74,0.04,964800,259280352.0,6432000,1728535680.0,0
PK0031201012,BUXL,Buxly Paints Ltd. ,53.15,0.0,576000,30614400.0,1440000,76536000.0,3500
PK0077601018,BWCL,Bestway Cement Limited. ,151.87,2.1,29812639,4527645484.93,596252783,90552910154.21,13000
PK0062601015,BWHL,Baluchistan Wheels Ltd. ,80.0,0.02,6000413,480033040.0,13334250,1066740000.0,0
PK0078401012,BYCO,BYCO Petroleum Pak Ltd. ,9.95,1.23,532988471,5303235286.45,5329884706,53032352824.7,6653000
PK0009501013,CCM,Crescent Cotton Mills Limited. ,26.55,0.01,13596076,360975817.8,22660123,601626265.65,7000
PK0023101014,CFL,Crescent Fibres Limited. ,35.1,0.01,4346257,152553620.7,12417876,435867447.6,0
PK0045301014,CHAS,Chashma Sugar Mills Ltd. ,92.0,0.06,4303800,395949600.0,28692000,2639664000.0,1000
PK0029801013,CHCC,Cherat Cement Co. Ltd. ,124.34,0.56,106862271,13287254776.14,194295038,24158645024.92,985500
PK0036601018,CLOV,Clover Pakistan Limited. ,87.51,0.06,9342918,817598754.18,31143059,2725329093.09,118000
PK0028001011,COLG,Colgate Palmolive (Pak) Ltd.(XB) ,2834.0,4.15,6330051,17939364534.0,63300512,179393651008.0,0
PK0032101013,CSAP,Crescent Steel & Allied Product. ,70.56,0.13,31052996,2191099397.76,77632491,5477748564.96,103000
PK0063301011,DAAG,Data Agro Limited ,10.2,0.0,800000,8160000.0,4000000,40800000.0,0
PK0004401011,DADX,Dadex Eternit Ltd. ,30.24,0.01,538200,16275168.0,10764000,325503360.0,0
PK0038101017,DCL,Dewan Cement Limited. ,9.69,0.11,121028336,1172764575.84,484113343,4691058293.67,1854000
PK0099001023,DCR,Dolmen City REIT. ,10.97,0.56,555925000,6098497250.0,2223700000,24393989000.0,36000
PK0083401015,DFSM,Dewan Farooque Spinning Mills Ltd. ,1.87,0.0,34212754,63977849.98,97750726,182793857.62,2000
PK0052401012,DGKC,D. G. Khan Cement Co. Ltd. ,109.58,1.11,219059559,24004546475.22,438119097,48009090649.26,2291871
PK0046101017,DINT,Din Textile Mills Ltd. ,45.66,0.06,2623337,119781567.42,52466750,2395631805.0,0
PK0084501011,DSIL,D. S. Industries Ltd. ,2.24,0.0,58579942,131219070.08,83685631,187455813.44,146000
PK0028201017,DYNO,DYNEA Pak. ,179.0,0.08,12267068,2195805172.0,18872400,3378159600.0,3500
PK0099701010,EFERT,Engro Fertilizers Limited. ,61.27,1.89,600884719,36816206733.13,1335299375,81813792706.25,1082656
PK0020501018,ELCM,Elahi Cotton Mills Ltd. ,45.47,0.0,260000,11821342.0,1300000,59106710.0,0
PK0028301015,EMCO,EMCO Industries Ltd. ,28.0,0.02,7000000,196000000.0,34999667,979990676.0,0
PK0012101017,ENGRO,Engro Corporation Limited. ,300.74,4.01,316889777,95301431534.98,576163230,173275329790.2,301106
PK0092201018,EPCL,Engro Polymer & Chemicals Ltd. ,44.01,0.93,318123167,14000600579.67,908923333,40001715885.33,3412500
PK0026101011,EXIDE,Exide Pakistan Ltd. ,345.09,0.06,1942155,670218268.95,7768618,2680872385.62,10600
PK0050801015,FANM,First Al-Noor Mod. ,3.0,0.0,15750000,47250000.0,21000000,63000000.0,0
PK0053201015,FASM,Faisal Spinning Mills Ltd. ,282.13,0.07,1000000,282130000.0,10000000,2821300000.0,0
PK0091601010,FATIMA,Fatima Fertilizer Co Ltd. ,28.74,1.4,315000000,9053100000.0,2100000000,60354000000.0,4134500
PK0074501013,FCCL,Fauji Cement Co Ltd. ,20.35,0.65,758898264,15443579672.4,1379815025,28079235758.75,8294000
PK0096501017,FCEPL,Frieslandcampina Engro Pakistan Ltd. ,73.27,1.3,76659608,5616849478.16,766596075,56168494415.25,55000
PK0052901011,FECM,First Elite Capital Mod. ,2.66,0.0,8505000,22623300.0,11340000,30164400.0,111500
PK0059501012,FECTC,Fecto Cement Ltd. ,33.27,0.04,12540000,417205800.0,50160000,1668823200.0,26500
PK0005201014,FEROZ,Ferozsons Laboratories Ltd. ,393.34,0.27,12074736,4749476658.24,30186841,11873692038.94,175800
PK0053601016,FFLM,First Fidelity Leasing Mod. ,3.9,0.0,17168973,66958994.7,26413804,103013835.6,5000
PK0029901011,FHAM,First Habib Mod. ,11.56,0.05,171360000,1980921600.0,201600000,2330496000.0,88000
PK0065101013,FIMM,First Imrooz Mod. ,95.47,0.01,600000,57282000.0,3000000,286410000.0,1000
PK0089401019,FLYNG,Flying Cement Company Ltd. ,9.76,0.04,61600000,601216000.0,176000000,1717760000.0,104500
PK0021001018,FML,Feroze1888 Mills Ltd. ,105.08,0.92,56520145,5939136836.6,376800968,39594245717.44,576000
PK0061301013,FPJM,First Punjab Mod. ,2.35,0.0,13608000,31978800.0,34020000,79947000.0,0
PK0072201012,FPRM,First Paramount Mod. ,5.21,0.0,6204787,32326940.27,13788418,71837657.78,0
PK0053801012,FRCL,Frontier Ceramics Ltd. ,12.71,0.01,11362146,144412875.66,37873821,481376264.91,40500
PK0028401013,FRSM,Faran Sugar Mills Ltd. ,47.0,0.03,8752434,411364398.0,25007151,1175336097.0,29000
PK0088401010,FTMM,First Treet Manufacturing Modaraba. ,14.5,0.07,9780000,141810000.0,195599994,2836199913.0,500
PK0043901013,FTSM,First Tri-Star Mod. ,4.0,0.0,9523397,38093588.0,21163104,84652416.0,500
PK0049801019,FUDLM,First UDL Mod. ,8.2,0.01,14367497,117813475.4,29025260,238007132.0,1500
PK0054001018,GAIL,Ghani Automobile Industries Ltd. ,5.31,0.01,49542574,263071067.94,50028880,265653352.8,165000
PK0053901010,GATI,Gatron (Industries) Ltd. ,668.67,0.59,1918224,1282652511.94,38364500,25653063612.15,0
PK0109601010,GGGL,Ghani Global Glass Limited. ,14.63,0.03,50000000,731500000.0,100000000,1463000000.0,753500
PK0099101013,GGL,Ghani Global Holdings Limited. ,14.42,0.05,75715403,1091816111.26,153305824,2210669982.08,708500
PK0064301010,GHGL,Ghani Glass Ltd. ,52.44,0.66,108308533,5679699470.52,541542665,28398497352.6,12000
PK0007101014,GHNI,Ghandhara Industries Ltd. ,238.19,0.24,12782653,3044700118.07,42608844,10149000552.36,2268400
PK0059701018,GHNL,Ghandhara Nissan Ltd. ,89.85,0.12,19950875,1792586118.75,57002500,5121674625.0,911000
PK0106101014,GIL,Good Luck Industries Limited.(XD) ,486.59,0.0,116,56444.44,300000,145977000.0,0
PK0001301016,GLAXO,Glaxo SmithKline Pakistan Ltd. ,174.2,1.28,51760668,9016708365.6,318467278,55476999827.6,31700
PK0032301019,GOC,GOC (PAK) Limited.(XD) ,45.25,0.01,1102401,49883645.25,7348950,332539987.5,3000
PK0112101016,GSKCH,Glaxo SmithKline Healthcare Pak Ltd. ,289.65,0.79,15503855,4490691600.75,117054508,33904838242.2,10000
PK0013401010,GVGL,Ghani Value Glass Limited. ,41.7,0.06,6238584,260148952.8,58031273,2419904084.1,500
PK0005701013,GWLC,Gharibwal Cement Ltd. ,26.85,0.25,60041094,1612103373.9,400273960,10747355826.0,197500
PK0006801010,HABSM,Habib Sugar Mills Ltd. ,36.0,0.13,45000000,1620000000.0,150000000,5400000000.0,20500
PK0001701017,HAFL,Hafiz Limited. ,90.83,0.0,38117,3462167.11,1200000,108996000.0,0
PK0108001014,HASCOL,Hascol Petroleum Ltd. ,16.69,0.39,599472408,10005194489.52,999120680,16675324149.2,53935339
PK0064901017,HCAR,Honda Atlas Cars (Pak) Ltd. ,276.0,0.91,28560000,7882560000.0,142800000,39412800000.0,671800
PK0070701013,HINOON,Highnoon Laboratories Ltd. ,611.0,0.49,13845978,8459892558.0,34614947,21149732617.0,850
PK0111101025,HMM,Habib Metro Modaraba. ,9.45,0.01,9000000,85050000.0,30000000,283500000.0,0
PK0026401015,HRPL,Habib Rice Product Ltd. ,37.25,0.03,8000000,298000000.0,40000000,1490000000.0,99500
PK0011001010,HSM,Husein Sugar Mills Limited. ,18.13,0.02,15408000,279347040.0,38520000,698367600.0,0
PK0111201015,HTL,Hi-Tech Lubricants Limited. ,44.46,0.12,28675399,1274908239.54,116004000,5157537840.0,432000
PK0070801011,IBFL,Ibrahim Fibre Limited. ,63.51,0.46,15525350,986014978.5,310506995,19720299252.45,0
PK0095501018,IBLHL,IBL HealthCare Limited. ,93.64,0.12,10817521,1012952666.44,54087605,5064763332.2,46500
PK0003101018,ICI,ICI Pakistan Limited.(XD) ,709.63,1.52,13853858,9831113252.54,92359050,65540752651.5,12400
PK0078901011,ICL,Ittehad Chemical Ltd. ,30.32,0.06,29645000,898836400.0,84700000,2568104000.0,130000
PK0054301012,IDRT,Idrees Textile Mills Ltd. ,17.05,0.01,2977920,50952211.2,19852800,339681408.0,0
PK0046901010,IDSM,Ideal Spinning Mills Ltd. ,24.71,0.01,1984000,49024640.0,9920000,245123200.0,1000
PK0006901018,IDYM,Indus Dyeing & Manufacturing. ,546.13,0.23,2711060,1480591197.8,18073731,9870606711.03,1150
PK0114501015,ILP,Interloop Limited.(XD) ,72.0,1.45,130410000,9389520000.0,869400000,62596800000.0,2484000
PK0054501017,INDU,Indus Motor Company Ltd.(XD) ,1285.6,2.34,13441614,17280538958.4,78600000,101048160000.0,1000
PK0065401017,INKL,International Knitwear Ltd. ,16.0,0.0,3386250,54180000.0,9675000,154800000.0,0
PK0102001010,ISL,International Steels Limited. ,72.92,0.73,130500000,9516060000.0,435000000,31720200000.0,1498500
PK0115101013,ITTEFAQ,Ittefaq Iron Industries Limited. ,15.95,0.05,79388850,1266252157.5,144343364,2302276655.8,460000
PK0054601015,JATM,J. A. Textile Mills Ltd. ,6.94,0.0,1890174,13117807.56,12601200,87452328.0,0
PK0006001017,JDMT,Janana De Malucha Tex Mills. ,78.18,0.01,956959,74815054.62,4784794,374075194.92,500
PK0054701013,JDWS,J. D. W. Sugar Mills Ltd. ,225.0,0.31,8966499,2017462275.0,59776661,13449748725.0,500
PK0019701017,JSML,Jauharabad Sugar Mills Ltd. ,22.46,0.02,11944959,268283779.14,34128454,766525076.84,8000
PK0006101015,JVDC,Javedan Corporation Ltd. ,22.5,0.17,111084189,2499394252.5,317383396,7141126410.0,2000
PK0060401012,KCL,Karam Ceramics Mills Ltd. ,27.84,0.01,1454868,40503525.12,14549060,405045830.4,2500
PK0000501012,KEL,K-Electric Limited. ,3.74,2.39,2761519425,10328082649.5,27615194245,103280826476.3,5315000
PK0006201013,KHYT,Khyber Textile Mills Ltd. ,254.0,0.01,22656,5754624.0,1227500,311785000.0,0
PK0075001013,KOHC,Kohat Cement Co. Ltd. ,196.72,0.92,60258389,11854030284.08,200861294,39513433755.68,127900
PK0023501015,KSBP,KSB Pumps Co Ltd. ,325.84,0.1,5290453,1723841205.52,13200000,4301088000.0,35100
PK0018101011,KTML,Kohinoor Textile Mills Ltd. ,57.5,0.4,224472342,12907159665.0,299296456,17209546220.0,14500
PK0066101012,LEUL,Leather Up Ltd. ,15.01,0.0,1765400,26498654.0,6000000,90060000.0,0
PK0077901012,LOTCHEM,Lotte Chemical Pakistan Ltd. ,11.9,0.42,378551802,4504766443.8,1514207200,18019065680.0,2045500
PK0028701016,LPGL,Leiner Pak Gelantine Limited. ,16.12,0.0,750000,12090000.0,7500000,120900000.0,2500
PK0071501016,LUCK,Lucky Cement Limited. ,654.95,4.9,129350000,84717782500.0,323375000,211794456250.0,446269
PK0080901017,MACFL,MACPAC Films Limited. ,20.62,0.03,20755403,427976409.86,59301150,1222789713.0,451000
PK0113501016,MACTER,Macter International Limited. ,138.32,0.13,11743305,1624333947.6,39144351,5414446630.32,1000
PK0066301018,MARI,Mari Petroleum Company Ltd. ,1328.88,4.11,26680500,35455182840.0,133402500,177275914200.0,23780
PK0077401013,MEBL,Meezan Bank Limited. ,81.9,2.68,353680696,28966449002.4,1414722747,115865792979.3,575074
PK0066201010,MLCF,Maple Leaf Cement Factory Ltd. ,38.81,0.99,494255804,19182067753.24,1098346232,42626817263.92,10268322
PK0055201013,MQTM,Maqbool Textile Mills Ltd. ,27.75,0.01,3360000,93240000.0,16800000,466200000.0,1000
PK0009801017,MTL,Millat Tractors Limited. ,910.0,1.05,22423100,20405021000.0,49829112,45344491920.0,56550
PK0037801013,NATF,National Foods Ltd.(XDXB) ,229.55,0.99,55947702,12842794994.1,186492343,42809317335.65,57100
PK0084201018,NETSOL,NetSol Technologies Ltd. ,57.9,0.12,31442923,1820545241.7,89836923,5201557841.7,1842000
PK0005501017,NML,Nishat Mills Ltd. ,102.36,0.83,158219932,16195392239.52,351599848,35989760441.28,1059000
PK0008201011,NRL,National Refinary Ltd. ,172.16,0.32,26092455,4492077052.8,79966560,13767042969.6,618700
PK0006401019,NSRM,The National Silk & Rayon Mills Ltd. ,19.21,0.01,777659,14938829.39,15553133,298775684.93,0
PK0080201012,OGDC,Oil & Gas Development Company Ltd. ,105.5,10.51,645139260,68062191930.0,4300928400,453747946200.0,1942314
PK0032401017,ORIXM,Orix Modaraba. ,21.29,0.02,34037648,724661525.92,45383530,966215353.7,71500
PK0116401016,ORM,Orient rental Modaraba. ,7.4,0.01,37500000,277500000.0,75000000,555000000.0,6500
