ISIN,SYMBOL,COMPANY,PRICE,IDX WT %,FF BASED SHARES,FF BASED MCAP,ORD SHARES,ORD SHARES MCAP,Volume
PK0048201013,PAKL,Pak Leather Crafts Ltd. [ DEFAULTER SEGMENT ],2.89,0.0,1020000,2947800.00,3400000,9826000.0,0
PK0048301011,PAKMI,First Pak Mod.(XD) ,1.55,0.0,6897000,10690350.00,12540000,19437000.0,23500
PK0003801013,PAKOXY,Pakistan Oxygen Limited. ,143.41,0.07,9765101,1400413134.41,39060372,5601647948.52,18100
PK0004101017,PAKRI,Pakistan Reinsurance Comp. ,27.77,0.11,75000000,2082750000.00,300000000,8331000000.0,15000
PK0002701016,PAKT,Pakistan Tobacco Co Ltd. ,1640.0,5.51,12480113,20467385320.00,255493792,419009818880.0,100
PK0090101012,PASL,Pervez Ahmed Consultancy Services Ltd. ,0.98,0.0,186129247,182406662.06,186568487,182837117.26,177500
PK0048401019,PASM,Paramount Spinning Mills. [ DEFAULTER SEGMENT ],2.02,0.0,8676164,17525851.28,17352330,35051706.6,0
PK0002001011,PCAL,Pakistan Cables Ltd. ,133.63,0.06,8894493,1188571099.59,35577970,4754284131.1,6600
PK0056401018,PDGH,Prudential Discount & Guarante [ DEFAULTER SEGMENT ],0.3,0.0,2000000,600000.00,10000000,3000000.0,0
PK0002101019,PECO,Pakistan Engineering Co Ltd. [ DEFAULTER SEGMENT ],200.0,0.01,2276098,455219600.00,5690200,1138040000.0,0
PK0034602026,PELPS,Pakistan Elektron Ltd.(PS) ,11.0,0.01,36694083,403634913.00,44957592,494533512.0,0
PK0075401015,PGLC,Pak Gulf Leasing Co Ltd. ,13.9,0.0,5073960,70528044.00,25369800,352640220.0,0
PK0025501013,PHDL,Pakistan Hotels Developers Ltd. ,114.0,0.03,1800000,205200000.00,18000000,2052000000.0,0
PK0003401012,PIAA,Pak International Airline Corp Ltd ,4.83,0.33,188798786,911898136.38,5233761118,25279066199.94,1209000
PK0003401020,PIAB,Pakistan International Airline Corp Ltd ,4.8,0.0,2624,12595.20,1500000,7200000.0,0
PK0105101015,PIBTL,Pakistan Intl. Bulk Terminal Ltd. ,12.05,0.28,893046386,10761208951.30,1786092772,21522417902.6,8855000
PK0034801016,PICL,Pakistan Industrial & Comm.Lea. [ DEFAULTER SEGMENT ],0.1,0.0,11819680,1181968.00,39398933,3939893.3,0
PK0079701014,PICT,Pakistan Int.Container Terminal.(XD) ,178.44,0.26,16372973,2921593302.12,109153152,19477288442.88,12700
PK0086701015,PIL,PICIC Insurance Ltd. [ DEFAULTER SEGMENT ],1.11,0.0,34646863,38458017.93,35000000,38850000.0,77500
PK0065501014,PIM,Popular Islamic Madaraba ,5.5,0.0,1000000,5500000.00,10000000,55000000.0,1500
PK0001101010,PINL,Premier Insurance Limited. ,5.35,0.0,30339063,162313987.05,50565105,270523311.75,0
PK0056201012,PIOC,Pioneer Cement Ltd. ,96.57,0.29,124931836,12064667402.52,227148793,21935758940.01,963000
PK0071901018,PKGI,Pakistan General Insurance Co. [ DEFAULTER SEGMENT ],2.6,0.0,11061659,28760313.40,46401450,120643770.0,1000
PK0100601019,PKGP,Pakgen Power Limited. ,16.71,0.08,167436716,2797867524.36,372081591,6217483385.61,11500
PK0010001011,PKGS,Packages Ltd. ,472.84,0.56,22344876,10565551167.84,89379504,42262204671.36,4600
PK0042801016,PMI,First Prudential Mod. ,1.15,0.0,47969713,55165169.95,87217660,100300309.0,17000
PK0018201019,PMPK,Philip Morris (Pakistan)Ltd. ,1699.28,1.38,3079017,5232112007.76,61580341,104642241854.48,40
PK0002201017,PMRS,Premier Sugar Mills & Distille ,498.99,0.02,508969,253970441.31,3750000,1871212500.0,200
PK0025201010,PNSC,Pakistan National Shipping Co. ,90.0,0.16,11661202,1049508180.00,132063360,11885702400.0,1500
PK0023901017,POL,Pakistan Oilfields Limited.(XD) ,384.98,1.44,129759509,49954815774.82,283855104,109278537937.92,446261
PK0029101018,POML,Punjab Oil Mills Ltd. ,140.0,0.01,2156261,301876540.00,5390625,754687500.0,1600
PK0033901015,POWER,Power cement Limited ,9.52,0.13,372195052,3543296895.04,1063414434,10123705411.68,12595000
PK0033902013,POWERPS,Power cement Ltd. Preference Shares ,10.11,0.03,48917064,494551517.04,244585320,2472757585.2,64500
PK0081801018,PPL,Pakistan Petroleum Limited. ,90.55,3.24,666201713,60324565112.15,2720967548,246383611471.4,2754496
