ISIN,SYMBOL,COMPANY,PRICE,IDX WT %,FF BASED SHARES,FF BASED MCAP,ORD SHARES,ORD SHARES MCAP,Volume
PK0078701015,BAFL,Bank Alfalah Ltd. ,34.97,4.01,710866048,24858985698.56,720083513,25181320449.61,330099
PK0099701010,EFERT,Engro Fertilizers Limited. ,61.27,5.93,600884719,36816206733.13,608676108,37293585137.16,1082656
PK0012101017,ENGRO,Engro Corporation Limited. ,300.74,14.21,316889777,95301431534.98,296934894,89300200021.56,301106
PK0053401011,FFC,Fauji Fertilizer Co. Ltd. ,107.39,12.11,699731036,75144115956.04,708804118,76118474232.02,546664
PK0085101019,HBL,Habib Bank Limited. ,136.85,16.18,733426254,100369382859.9,742936246,101670825265.1,849739
PK0065001015,HUBC,Hub Power Company Limited. ,79.25,12.42,972865790,77099613857.5,985480482,78099328198.5,1255797
PK0071501016,LUCK,Lucky Cement Limited. ,654.95,13.65,129350000,84717782500.0,131027220,85816277739.0,446269
PK0055601014,MCB,MCB Bank Limited. ,176.45,11.79,414771002,73186343302.9,420149142,74135316105.9,299880
PK0081901016,UBL,United Bank Ltd. ,122.88,9.7,489671875,60170880000.0,496021219,60951087390.72,812785
