ISIN,SYMBOL,COMPANY,PRICE,IDX WT %,FF BASED SHARES,FF BASED MCAP,ORD SHARES,ORD SHARES MCAP,Volume
PK0002701016,PAKT,Pakistan Tobacco Co Ltd. ,1640.0,1.13,12480113,20467385320.0,12480113,20467385320.0,100
PK0105101015,PIBTL,Pakistan Intl. Bulk Terminal Ltd. ,12.05,0.6,893046386,10761208951.3,893046386,10761208951.3,8855000
PK0056201012,PIOC,Pioneer Cement Ltd. ,96.57,0.67,124931836,12064667402.52,124931836,12064667402.52,963000
PK0010001011,PKGS,Packages Ltd. ,472.84,0.59,22344876,10565551167.84,22344876,10565551167.84,4600
PK0018201019,PMPK,Philip Morris (Pakistan)Ltd. ,1699.28,0.29,3079017,5232112007.76,3079017,5232112007.76,40
PK0023901017,POL,Pakistan Oilfields Limited.(XD) ,384.98,2.77,129759509,49954815774.82,129759509,49954815774.82,446261
PK0081801018,PPL,Pakistan Petroleum Limited. ,90.55,3.35,666201713,60324565112.15,666201713,60324565112.15,2754496
PK0008501014,PSEL,Pakistan Services Limited. ,950.0,1.11,21140711,20083675450.0,21140711,20083675450.0,0
PK0030501016,PSMC,Pak Suzuki Motors Co Ltd. ,198.28,0.24,21766291,4315820179.48,21766291,4315820179.48,707000
PK0022501016,PSO,Pakistan State Oil Co Ltd. ,208.1,2.44,211262985,43963827178.5,211262985,43963827178.5,3059913
PK0104801011,PSX,Pakistan Stock Exchange Limited. ,14.98,0.4,480885960,7203671680.8,480885960,7203671680.8,699000
PK0067901022,PTC,Pakistan Telecommunication Co. ,9.96,0.33,592081669,5897133423.24,592081669,5897133423.24,2651500
PK0087901010,SCBPL,Standard Chartered Bank Pak Ltd. ,33.05,0.35,193579251,6397794245.55,193579251,6397794245.55,105000
PK0061701014,SEARL,The Searle Company Ltd. ,262.11,1.39,95591360,25055451369.6,95591360,25055451369.6,587508
PK0016701010,SHEL,Shell Pakistan Ltd. ,227.13,0.28,22327355,5071212141.15,22327355,5071212141.15,317500
PK0072901017,SHFA,Shifa Int. Hospital Ltd. ,230.15,0.44,34086187,7844935938.05,34086187,7844935938.05,10300
PK0083501012,ABL,Allied Bank Ltd. ,86.0,0.82,171761075,14771452450.0,171761075,14771452450.0,3000
PK0025701019,ABOT,Abbott Laboratories Pak Ltd. ,761.55,0.89,21028966,16014609057.3,21028966,16014609057.3,7900
PK0027701017,AGIL,Agriautos Industries Co. Ltd. ,226.0,0.23,18720000,4230720000.0,18720000,4230720000.0,200
PK0113801010,AGP,AGP Limited. ,104.15,0.49,84000000,8748600000.0,84000000,8748600000.0,73500
PK0004901010,AICL,Adamjee Insurance Co. Ltd.(XD) ,42.17,0.65,280000000,11807600000.0,280000000,11807600000.0,156500
PK0051301015,AKBL,Askari Bank Limited. ,18.0,0.38,378078054,6805404972.0,378078054,6805404972.0,172500
PK0075101011,ANL,Azgard Nine Limited. ,17.89,0.36,364057298,6512985061.22,364057298,6512985061.22,4531000
PK0082901015,APL,Attock Petroleum Limited.(XD) ,345.06,0.48,24883200,8586196992.0,24883200,8586196992.0,4400
PK0076701017,ARPL,Archroma Pakistan Limited. ,568.5,0.27,8529470,4849003695.0,8529470,4849003695.0,6600
