ISIN,SYMBOL,COMPANY,PRICE,IDX WT %,FF BASED SHARES,FF BASED MCAP,ORD SHARES,ORD SHARES MCAP,Volume
PK0023901017,POL,Pakistan Oilfields Limited.(XD) ,384.98,4.87,129759509,49954815774.82,116998491,45042079065.18,446261
PK0081801018,PPL,Pakistan Petroleum Limited. ,90.55,9.16,666201713,60324565112.15,935240123,84685993137.65,2754496
PK0022501016,PSO,Pakistan State Oil Co Ltd. ,208.1,8.92,211262985,43963827178.5,396290247,82468000400.7,3059913
PK0078701015,BAFL,Bank Alfalah Ltd. ,34.97,3.02,710866048,24858985698.56,798645540,27928634533.8,330099
PK0051601018,BAHL,Bank Al-Habib Ltd. ,62.61,3.09,722426520,45231124417.2,456230731,28564606067.91,884364
PK0099701010,EFERT,Engro Fertilizers Limited. ,61.27,4.48,600884719,36816206733.13,675291231,41375093723.37,1082656
PK0012101017,ENGRO,Engro Corporation Limited. ,300.74,9.34,316889777,95301431534.98,286957292,86299535996.08,301106
PK0053401011,FFC,Fauji Fertilizer Co. Ltd. ,107.39,5.97,699731036,75144115956.04,513416234,55135769369.26,546664
PK0085101019,HBL,Habib Bank Limited. ,136.85,9.08,733426254,100369382859.9,612937071,83880438166.35,849739
PK0065001015,HUBC,Hub Power Company Limited. ,79.25,7.45,972865790,77099613857.5,868343076,68816188773.0,1255797
PK0071501016,LUCK,Lucky Cement Limited. ,654.95,10.03,129350000,84717782500.0,141574350,92724120532.5,446269
PK0055601014,MCB,MCB Bank Limited. ,176.45,5.97,414771002,73186343302.9,312484839,55137949841.55,299880
PK0077401013,MEBL,Meezan Bank Limited. ,81.9,3.0,353680696,28966449002.4,338023421,27684118179.9,575074
PK0080201012,OGDC,Oil & Gas Development Company Ltd. ,105.5,9.28,645139260,68062191930.0,812907847,85761777858.5,1942314
PK0081901016,UBL,United Bank Ltd. ,122.88,6.36,489671875,60170880000.0,478019165,58738994995.2,812785
