ISIN,SYMBOL,COMPANY,PRICE,IDX WT %,FF BASED SHARES,FF BASED MCAP,ORD SHARES,ORD SHARES MCAP,Volume
PK0023901017,POL,Pakistan Oilfields Limited.(XD) ,384.98,6.69,129759509,49954815774.82,136252031,52454306894.38,446261
PK0081801018,PPL,Pakistan Petroleum Limited. ,90.55,8.08,666201713,60324565112.15,699519664,63341505575.2,2754496
PK0022501016,PSO,Pakistan State Oil Co Ltd. ,208.1,5.89,211262985,43963827178.5,221834323,46163722616.3,3059913
PK0061701014,SEARL,The Searle Company Ltd. ,262.11,3.36,95591360,25055451369.6,100374633,26309195055.63,587508
PK0024501014,ATRL,Attock Refinery Limited. ,140.9,0.81,42646500,6008891850.0,44780478,6309569350.2,1158000
PK0029801013,CHCC,Cherat Cement Co. Ltd. ,124.34,1.78,106862271,13287254776.14,112209527,13952132587.18,985500
PK0052401012,DGKC,D. G. Khan Cement Co. Ltd. ,109.58,3.22,219059559,24004546475.22,230021028,25205704248.24,2291871
PK0099701010,EFERT,Engro Fertilizers Limited. ,61.27,4.93,600884719,36816206733.13,630952247,38658444173.69,1082656
PK0012101017,ENGRO,Engro Corporation Limited. ,300.74,9.01,316889777,95301431534.98,234826372,70621683115.28,301106
PK0092201018,EPCL,Engro Polymer & Chemicals Ltd. ,44.01,1.88,318123167,14000600579.67,334041657,14701173324.57,3412500
PK0074501013,FCCL,Fauji Cement Co Ltd. ,20.35,2.07,758898264,15443579672.4,796872595,16216357308.25,8294000
PK0108001014,HASCOL,Hascol Petroleum Ltd. ,16.69,1.34,599472408,10005194489.52,629469266,10505842049.54,53935339
PK0064901017,HCAR,Honda Atlas Cars (Pak) Ltd. ,276.0,1.06,28560000,7882560000.0,29989107,8276993532.0,671800
PK0054501017,INDU,Indus Motor Company Ltd.(XD) ,1285.6,2.31,13441614,17280538958.4,14109884,18139666870.4,1000
PK0102001010,ISL,International Steels Limited. ,72.92,1.28,130500000,9516060000.0,137030059,9992231902.28,1498500
PK0000501012,KEL,K-Electric Limited. ,3.74,1.38,2761519425,10328082649.5,2899702442,10844887133.08,5315000
PK0077901012,LOTCHEM,Lotte Chemical Pakistan Ltd. ,11.9,0.6,378551802,4504766443.8,397494066,4730179385.4,2045500
PK0071501016,LUCK,Lucky Cement Limited. ,654.95,11.35,129350000,84717782500.0,135822514,88956955544.3,446269
PK0066301018,MARI,Mari Petroleum Company Ltd. ,1328.88,4.75,26680500,35455182840.0,28015559,37229316043.92,23780
PK0077401013,MEBL,Meezan Bank Limited. ,81.9,3.88,353680696,28966449002.4,371378441,30415894317.9,575074
PK0066201010,MLCF,Maple Leaf Cement Factory Ltd. ,38.81,2.57,494255804,19182067753.24,518987753,20141914693.93,10268322
PK0009801017,MTL,Millat Tractors Limited. ,910.0,2.73,22423100,20405021000.0,23545124,21426062840.0,56550
PK0084201018,NETSOL,NetSol Technologies Ltd. ,57.9,0.24,31442923,1820545241.7,33016288,1911643075.2,1842000
PK0005501017,NML,Nishat Mills Ltd. ,102.36,2.17,158219932,16195392239.52,166137062,17005789666.32,1059000
PK0008201011,NRL,National Refinary Ltd. ,172.16,0.6,26092455,4492077052.8,27398089,4716855002.24,618700
PK0080201012,OGDC,Oil & Gas Development Company Ltd. ,105.5,9.12,645139260,68062191930.0,677421231,71467939870.5,1942314
PK0034601010,PAEL,Pak Elektron Ltd. ,34.56,1.15,248840743,8599936078.08,261292426,9030266242.56,12493000
PK0008901016,SNGP,Sui Northern Gas Pipe Line Ltd. ,61.33,2.35,285397499,17503428613.67,299678437,18379278541.21,1472184
PK0109001013,SYS,Systems Limited. ,284.1,2.82,74060941,21040713338.1,77766859,22093564641.9,87200
PK0068801015,UNITY,Unity Foods Limited. ,17.16,0.56,497025000,8528949000.0,257073115,4411374653.4,34986500
