ISIN,SYMBOL,COMPANY,PRICE,IDX WT %,FF BASED SHARES,FF BASED MCAP,ORD SHARES,ORD SHARES MCAP,Volume
PK0023901017,POL,Pakistan Oilfields Limited.(XD) ,384.98,28.01,129759509,49954815774.82,129759509,49954815774.82,446261
PK0081801018,PPL,Pakistan Petroleum Limited. ,90.55,33.83,666201713,60324565112.15,666201713,60324565112.15,2754496
PK0080201012,OGDC,Oil & Gas Development Company Ltd. ,105.5,38.16,645139260,68062191930.0,645139260,68062191930.0,1942314
