ISIN,SYMBOL,COMPANY,PRICE,IDX WT %,FF BASED SHARES,FF BASED MCAP,ORD SHARES,ORD SHARES MCAP,Volume
PK0023901017,POL,Pakistan Oilfields Limited.(XD) ,384.98,5.99,129759509,49954815774.82,129759049,49954638684.02,446261
PK0081801018,PPL,Pakistan Petroleum Limited. ,90.55,7.24,666201713,60324565112.15,666129798,60318053208.9,2754496
PK0022501016,PSO,Pakistan State Oil Co Ltd. ,208.1,5.27,211262985,43963827178.5,211262985,43963827178.5,3059913
PK0051601018,BAHL,Bank Al-Habib Ltd. ,62.61,5.43,722426520,45231124417.2,722426520,45231124417.2,884364
PK0012101017,ENGRO,Engro Corporation Limited. ,300.74,11.43,316889777,95301431534.98,316889777,95301431534.98,301106
PK0053401011,FFC,Fauji Fertilizer Co. Ltd. ,107.39,9.02,699731036,75144115956.04,699731036,75144115956.04,546664
PK0085101019,HBL,Habib Bank Limited. ,136.85,12.04,733426254,100369382859.9,733426254,100369382859.9,849739
PK0065001015,HUBC,Hub Power Company Limited. ,79.25,9.25,972865790,77099613857.5,972865790,77099613857.5,1255797
PK0071501016,LUCK,Lucky Cement Limited. ,654.95,10.16,129350000,84717782500.0,129350000,84717782500.0,446269
PK0055601014,MCB,MCB Bank Limited. ,176.45,8.78,414771002,73186343302.9,414771002,73186343302.9,299880
PK0080201012,OGDC,Oil & Gas Development Company Ltd. ,105.5,8.17,645139260,68062191930.0,645139260,68062191930.0,1942314
PK0081901016,UBL,United Bank Ltd. ,122.88,7.22,489671875,60170880000.0,489671875,60170880000.0,812785
